identification,description,title
Product ID: 3929G,The best greenhouse tomato for fresh market.,"Rebelski/Estamino Grafted,Organic (F1) Tomato Plants"
Product ID: 3222G,A great greenhouse tomato for market growers.,"Rebelski/Maxifort Grafted,Organic (F1) Tomato Plants"
Product ID: 4278G,New! Heirloom-quality flavor and look.,"Marnero/Estamino Grafted,Organic (F1) Tomato Plants"
Product ID: 4527G,New! Classic flavor and appearance.,"Margold/Estamino Grafted,Organic (F1) Tomato Plants"
Product ID: 4744G,New! Smooth pink greenhouse tomato.,"Tomimaru Muchoo/Estamino Grafted,Organic (F1) Tomato Plants"
Product ID: 4721G,"New! High yields of large, flavorful fruit.","Bigdena/Estamino Grafted,Organic (F1) Tomato Plants"
Product ID: 2967P,The standard for hydroponic growing.,"Rex,Pelleted Lettuce Seed"
Product ID: 2542,Late season redleaf.,"Ruby Sky,Lettuce Seed"
Product ID: 3947G,"A collection of our favorite heirloom tomatoes, grafted.","Grafted Heirloom Tomato Collection,Organic Plants"
Product ID: 3952G,Our favorite greenhouse varieties grafted.,"Estamino Grafted Greenhouse Tomato Collection,Organic (F1) Plants"
Product ID: 3223G,Our favorite greenhouse varieties grafted to Maxifort.,"Maxifort Grafted Greenhouse Tomato Collection,Organic (F1) Plants"
Product ID: 2440G,Green summer crisp with open heads.,"Concept,Organic Lettuce Seed"
Product ID: 2794,Crack resistance with good flavor.,"Geronimo,(F1) Tomato Seed"
Product ID: 2380,Long-time favorite red oakleaf.,"Oscarde,Lettuce Seed"
Product ID: 3187,Highest quality cluster tomato.,"Climstar,(F1) Tomato Seed"
Product ID: 2382JP,Red summer crisp with good flavor. Conventional seed with NOP-compliant pelleting.,"Magenta,Pelleted Lettuce Seed"
Product ID: 2989G,Large Beit Alpha for colder conditions.,"Socrates,Organic (F1) Cucumber Seed"
Product ID: 3017,Greenhouse tomato for fresh market.,"Rebelski,(F1) Tomato Seed"
Product ID: 3880GP,"Dark red, mini romaine.","Truchas,Organic Pelleted Lettuce Seed"
Product ID: 2485P,"Heat tolerant, disease resistant green leaf.","Tropicana,Pelleted Lettuce Seed"
Product ID: 2962GP,Now available organic! Heat tolerant red butterhead.,"Red Cross,Organic Pelleted Lettuce Seed"
Product ID: 2485G,"Heat tolerant, disease resistant green leaf.","Tropicana,Organic Lettuce Seed"
Product ID: 2440GP,Organic seed with NOP-compliant pelleting. Green summer crisp with open heads.,"Concept,Organic Pelleted Lettuce Seed"
Product ID: 2064,Widely adapted.,"Cobra,(F1) Tomato Seed"
Product ID: 439JP,"Bright green leaves form dense, closed heads. Conventional seed with NOP-compliant pelleting.","Nevada,Pelleted Lettuce Seed"
